Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1hytmCxrSmEY8FtD0QKspU,"Different Shoes","Different Shoes","Uwe Felchle Project",2025-08-04,235275,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:09:44Z,"","FUNKY MOOSE RECORDS",0.445,0.526,2,-10.653,1,0.0268,0.0241,0.00323,0.307,0.24,179.911,4
spotify:track:11ooYitBPq6cyXyFDnF56N,"Darkness is denying","Darkness is denying","Uwe Felchle Project",2025-07-13,232106,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:09:46Z,"","FUNKY MOOSE RECORDS",0.659,0.51,4,-9.376,0,0.0369,0.127,0.0244,0.082,0.135,121.965,4
spotify:track:37Vp9bPEiZypHRk4fsOCEx,"Furry Love","Furry Love","Uwe Felchle Project",2025-06-30,225000,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:09:47Z,"","FUNKY MOOSE RECORDS",0.562,0.398,9,-13.579,1,0.0258,0.095,0,0.344,0.498,80.022,1
spotify:track:0jm7n8qcdWuKOGs9ZQZpdn,"Alarm auf dem Mars","Alarm auf dem Mars","Uwe Felchle Project;Finn`s orbitale Frühstücks Überwachung",2025-05-15,191146,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:09:49Z,"","FUNKY MOOSE RECORDS",0.682,0.702,5,-8.904,0,0.0486,0.0018,0.00276,0.0983,0.84,139.507,4
spotify:track:6bMdZlqKtMBJptNgxz4TBh,"Marlene","Marlene","Uwe Felchle Project;John Daniels",2025-05-02,256236,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:09:50Z,"","FUNKY MOOSE RECORDS",0.661,0.722,6,-9.36,0,0.0274,0.0114,0.608,0.19,0.718,119.992,4
spotify:track:4G3Lf5oSmfGhmJyRbTy0xX,"Trace of gloom","Trace of gloom","Uwe Felchle Project",2025-04-29,195000,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:09:52Z,"","FUNKY MOOSE RECORDS",0.752,0.412,7,-13.24,1,0.0336,0.234,0.000112,0.202,0.795,96.025,4
spotify:track:2hYM3WPs86NAiYSgB8FepK,"Jetzt kann ich gehn`","Jetzt kann ich gehn`","Uwe Felchle Project;Finn`s orbitale Frühstücks Überwachung",2025-04-28,201403,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:09:54Z,"","FUNKY MOOSE RECORDS",0.691,0.833,11,-11.368,0,0.0386,0.0045,0.000427,0.124,0.615,105.009,4
spotify:track:1oHJpURDIq3d6TITLAHUwJ,"Fast wie die Sonne","Fast wie die Sonne","Uwe Felchle Project;Finn`s orbitale Frühstücks Überwachung",2025-04-28,232464,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:09:57Z,"","FUNKY MOOSE RECORDS",0.746,0.498,4,-13.442,0,0.0359,0.0107,0.14,0.151,0.869,127.002,4
spotify:track:2NiuPQQVZwjr5tf6QTxF18,"In meinen Träumen","In meinen Träumen","Uwe Felchle Project",2024-11-23,188512,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:09:58Z,"","FUNKY MOOSE RECORDS",0.704,0.669,9,-12.339,0,0.0355,0.00824,0.476,0.0823,0.484,115.503,4
spotify:track:79l5iclZjMd3rXLTpYUuSR,"4yourlove","4yourlove","Uwe Felchle Project",2024-07-29,212950,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:00Z,"","FUNKY MOOSE RECORDS",0.323,0.494,0,-9.936,1,0.0323,0.219,0.917,0.12,0.186,199.701,4
